[ 3757.164153] pcf8591 init
[ 3757.164500] pcf8591 probe callback
[ 3757.278823] pcf8591 value: 0xd8
[ 3757.384975] pcf8591 value: 0xd8
[ 3757.493032] pcf8591 value: 0xd8
[ 3757.600985] pcf8591 value: 0xd7
[ 3757.708802] pcf8591 value: 0xd8
[ 3757.817015] pcf8591 value: 0xcf
[ 3757.925013] pcf8591 value: 0xc0
[ 3758.033016] pcf8591 value: 0xc1
[ 3758.141018] pcf8591 value: 0xc8
[ 3758.248005] pcf8591 value: 0xc4
[ 3758.356850] pcf8591 value: 0xb7
[ 3758.464997] pcf8591 value: 0xac
[ 3758.572995] pcf8591 value: 0xa2
[ 3758.681004] pcf8591 value: 0x99
[ 3758.789000] pcf8591 value: 0x8f
[ 3758.897005] pcf8591 value: 0x86
[ 3759.005032] pcf8591 value: 0x7d
[ 3759.113004] pcf8591 value: 0x74
[ 3759.221010] pcf8591 value: 0x6b
[ 3759.328101] pcf8591 value: 0x63
[ 3759.436072] pcf8591 value: 0x5c
[ 3759.544129] pcf8591 value: 0x59
[ 3759.653048] pcf8591 value: 0x59
[ 3759.761028] pcf8591 value: 0x59
[ 3759.869019] pcf8591 value: 0x58
[ 3759.977025] pcf8591 value: 0x58
[ 3760.085037] pcf8591 value: 0x58
[ 3760.193020] pcf8591 value: 0x58
[ 3760.300827] pcf8591 value: 0x58
[ 3760.409033] pcf8591 value: 0x58
[ 3760.517009] pcf8591 value: 0x58
[ 3760.624838] pcf8591 value: 0x58
[ 3760.733044] pcf8591 value: 0x58
[ 3760.841004] pcf8591 value: 0x58
[ 3760.949023] pcf8591 value: 0x58
[ 3761.057003] pcf8591 value: 0x99
[ 3761.164895] pcf8591 value: 0xb3
[ 3761.272834] pcf8591 value: 0xcb
[ 3761.381032] pcf8591 value: 0xd3
[ 3761.488824] pcf8591 value: 0xd4
[ 3761.597021] pcf8591 value: 0xd4
[ 3761.704034] pcf8591 value: 0xd4
[ 3761.812221] pcf8591 value: 0xd5
[ 3761.921100] pcf8591 value: 0xd5
[ 3762.029167] pcf8591 value: 0xd6
[ 3762.136856] pcf8591 value: 0xd6
[ 3762.245048] pcf8591 value: 0xd6
[ 3762.352841] pcf8591 value: 0xd6
[ 3762.460465] pcf8591 value: 0xd7
[ 3762.569035] pcf8591 value: 0xd7
[ 3762.676855] pcf8591 value: 0xd7
[ 3762.785048] pcf8591 value: 0xd7
[ 3762.893049] pcf8591 value: 0xd7
[ 3763.001050] pcf8591 value: 0xd7
[ 3763.109060] pcf8591 value: 0xd7
[ 3763.217041] pcf8591 value: 0xd7
[ 3763.325035] pcf8591 value: 0xd7
[ 3763.433050] pcf8591 value: 0xd7
[ 3763.541041] pcf8591 value: 0xd7
[ 3763.648676] pcf8591 value: 0xd8
[ 3763.757064] pcf8591 value: 0xd8
[ 3763.865662] pcf8591 value: 0xd8
[ 3763.972296] pcf8591 value: 0xd8
[ 3764.081122] pcf8591 value: 0xd8
[ 3764.189072] pcf8591 value: 0xd8
[ 3764.297024] pcf8591 value: 0xd8
[ 3764.405066] pcf8591 value: 0xd8
[ 3764.512598] pcf8591 value: 0xd8
[ 3764.620714] pcf8591 value: 0xd8
[ 3764.729069] pcf8591 value: 0xd8
[ 3764.837094] pcf8591 value: 0xd8
[ 3764.945078] pcf8591 value: 0xd8
[ 3765.053086] pcf8591 value: 0xd8
[ 3765.161078] pcf8591 value: 0xd8
[ 3765.269039] pcf8591 value: 0xd8
[ 3765.377062] pcf8591 value: 0xd8
[ 3765.485039] pcf8591 value: 0xd8
[ 3765.593055] pcf8591 value: 0xd8
[ 3765.701082] pcf8591 value: 0xd8
[ 3765.809091] pcf8591 value: 0xd8
[ 3765.917061] pcf8591 value: 0xd8
[ 3766.025063] pcf8591 value: 0xd8
[ 3766.132048] pcf8591 value: 0xd8
[ 3766.240122] pcf8591 value: 0xd8
[ 3766.348619] pcf8591 value: 0xd8
[ 3766.457081] pcf8591 value: 0xd8
[ 3766.565091] pcf8591 value: 0xd8
[ 3766.672872] pcf8591 value: 0xd8
[ 3766.780902] pcf8591 value: 0xd8
[ 3766.889158] pcf8591 value: 0xd8
[ 3766.996890] pcf8591 value: 0xd8
[ 3767.105136] pcf8591 value: 0xd8
[ 3767.213077] pcf8591 value: 0xd8
[ 3767.320080] pcf8591 value: 0xd8
[ 3767.330432] pcf8591 exit
[ 3767.330492] pcf8591 remove callback
